,From,To,Weight
370,David Arnu,Edwin Yaqub,1
371,David Arnu,Fabian Temme,1
372,David Arnu,George Stamatakis 0002,1
373,David Arnu,Holger Arndt,1
374,David Arnu,Mate Torok,1
375,David Arnu,Miguel Ponce de Leon,1
376,David Arnu,Minos N. Garofalakis,1
377,David Arnu,Nikos Giatrakos,1
378,David Arnu,Ralf Klinkenberg,1
379,David Arnu,Stefan Burkard,1
380,David Arnu,Theodoros Bitsakis,1
381,David Arnu,Vasilis Samoladas,1
382,David Arnu,Yannis Kotidis,1
383,Edwin Yaqub,Fabian Temme,1
384,Edwin Yaqub,George Stamatakis 0002,1
385,Edwin Yaqub,Holger Arndt,1
386,Edwin Yaqub,Mate Torok,1
387,Edwin Yaqub,Miguel Ponce de Leon,1
388,Edwin Yaqub,Minos N. Garofalakis,1
389,Edwin Yaqub,Nikos Giatrakos,1
390,Edwin Yaqub,Ralf Klinkenberg,1
391,Edwin Yaqub,Stefan Burkard,1
392,Edwin Yaqub,Theodoros Bitsakis,1
393,Edwin Yaqub,Vasilis Samoladas,1
394,Edwin Yaqub,Yannis Kotidis,1
395,Fabian Temme,George Stamatakis 0002,1
396,Fabian Temme,Holger Arndt,1
397,Fabian Temme,Mate Torok,1
398,Fabian Temme,Miguel Ponce de Leon,1
399,Fabian Temme,Minos N. Garofalakis,1
400,Fabian Temme,Nikos Giatrakos,1
401,Fabian Temme,Ralf Klinkenberg,2
402,Fabian Temme,Stefan Burkard,1
403,Fabian Temme,Theodoros Bitsakis,1
404,Fabian Temme,Vasilis Samoladas,1
405,Fabian Temme,Yannis Kotidis,1
406,George Stamatakis 0002,Holger Arndt,1
407,George Stamatakis 0002,Mate Torok,1
408,George Stamatakis 0002,Miguel Ponce de Leon,1
409,George Stamatakis 0002,Minos N. Garofalakis,1
410,George Stamatakis 0002,Nikos Giatrakos,1
411,George Stamatakis 0002,Ralf Klinkenberg,1
412,George Stamatakis 0002,Stefan Burkard,1
413,George Stamatakis 0002,Theodoros Bitsakis,1
414,George Stamatakis 0002,Vasilis Samoladas,1
415,George Stamatakis 0002,Yannis Kotidis,1
416,Holger Arndt,Mate Torok,1
417,Holger Arndt,Miguel Ponce de Leon,1
418,Holger Arndt,Minos N. Garofalakis,1
419,Holger Arndt,Nikos Giatrakos,1
420,Holger Arndt,Ralf Klinkenberg,1
421,Holger Arndt,Stefan Burkard,1
422,Holger Arndt,Theodoros Bitsakis,1
423,Holger Arndt,Vasilis Samoladas,1
424,Holger Arndt,Yannis Kotidis,1
425,Mate Torok,Miguel Ponce de Leon,1
426,Mate Torok,Minos N. Garofalakis,1
427,Mate Torok,Nikos Giatrakos,1
428,Mate Torok,Ralf Klinkenberg,1
429,Mate Torok,Stefan Burkard,1
430,Mate Torok,Theodoros Bitsakis,1
431,Mate Torok,Vasilis Samoladas,1
432,Mate Torok,Yannis Kotidis,1
433,Miguel Ponce de Leon,Minos N. Garofalakis,1
434,Miguel Ponce de Leon,Nikos Giatrakos,1
435,Miguel Ponce de Leon,Ralf Klinkenberg,1
436,Miguel Ponce de Leon,Stefan Burkard,1
437,Miguel Ponce de Leon,Theodoros Bitsakis,1
438,Miguel Ponce de Leon,Vasilis Samoladas,1
439,Miguel Ponce de Leon,Yannis Kotidis,1
440,Minos N. Garofalakis,Nikos Giatrakos,1
